X,Y,Z,Rx,Ry,Rz,time
485.256,-1.221,234.325,179.9829,20.2246,1.6897,0.0
485.256,-1.221,234.325,179.9829,20.2246,1.6897,56.9
485.264,-1.221,234.326,179.9828,20.2236,1.6897,99.4
485.271,-1.221,234.327,179.9828,20.2226,1.6896,140.4
485.271,-1.221,234.327,179.9828,20.2226,1.6896,181.7
485.279,-1.221,234.329,179.9828,20.2216,1.6896,223.9
485.279,-1.221,234.329,179.9828,20.2216,1.6896,265.4
485.286,-1.221,234.33,179.9827,20.2206,1.6896,308.2
485.286,-1.221,234.33,179.9827,20.2206,1.6896,350.2
485.294,-1.221,234.331,179.9827,20.2195,1.6896,391.2
485.294,-1.221,234.331,179.9827,20.2195,1.6896,433.1
485.301,-1.221,234.332,179.9827,20.2185,1.6896,476.0
485.301,-1.221,234.332,179.9827,20.2185,1.6896,518.1
485.309,-1.213,234.334,179.9837,20.2175,1.6899,559.4
485.319,-1.213,234.33,179.9842,20.2172,1.6879,602.0
485.319,-1.213,234.33,179.9842,20.2172,1.6879,644.4
485.327,-1.213,234.331,179.9842,20.2162,1.6879,685.6
485.327,-1.213,234.331,179.9842,20.2162,1.6879,727.1
485.334,-1.213,234.333,179.9841,20.2152,1.6879,769.0
485.334,-1.213,234.333,179.9841,20.2152,1.6879,811.3
485.341,-1.213,234.334,179.9841,20.2141,1.6879,852.6
485.341,-1.213,234.334,179.9841,20.2141,1.6879,894.6
485.349,-1.213,234.335,179.9841,20.2131,1.6879,937.5
485.349,-1.213,234.335,179.9841,20.2131,1.6879,978.9
485.356,-1.213,234.336,179.984,20.2121,1.6879,1022.0
485.364,-1.213,234.338,179.984,20.2111,1.6879,1065.3
485.364,-1.213,234.338,179.984,20.2111,1.6879,1107.5
485.364,-1.213,234.338,179.984,20.2111,1.6879,1148.8
485.364,-1.213,234.338,179.984,20.2111,1.6879,1199.4
485.371,-1.218,234.339,179.984,20.2101,1.6872,1240.9
485.371,-1.211,234.325,179.9851,20.2115,1.6875,1283.7
485.379,-1.212,234.327,179.9846,20.2105,1.6895,1325.1
485.379,-1.212,234.327,179.9846,20.2105,1.6895,1366.9
485.379,-1.212,234.327,179.9846,20.2105,1.6895,1408.1
485.379,-1.212,234.327,179.9846,20.2105,1.6895,1457.3
485.386,-1.217,234.328,179.9846,20.2095,1.6888,1500.1
485.383,-1.217,234.319,179.9846,20.2102,1.6888,1541.7
485.394,-1.21,234.316,179.9857,20.2099,1.6891,1582.7
485.401,-1.21,234.317,179.9857,20.2089,1.6891,1623.8
485.401,-1.216,234.317,179.9857,20.2089,1.6884,1665.2
485.401,-1.216,234.317,179.9857,20.2089,1.6884,1720.8
485.401,-1.216,234.317,179.9857,20.2089,1.6884,1763.4
485.406,-1.216,234.31,179.9857,20.2086,1.6884,1804.4
485.409,-1.215,234.305,179.9863,20.2093,1.6901,1846.2
485.416,-1.215,234.306,179.9863,20.2083,1.6901,1887.7
485.416,-1.215,234.306,179.9863,20.2083,1.6901,1930.1
485.416,-1.215,234.306,179.9863,20.2083,1.6901,1972.0
485.424,-1.215,234.307,179.9863,20.2073,1.69,2021.9
485.432,-1.214,234.295,179.9869,20.2077,1.6917,2064.9
485.436,-1.22,234.288,179.9869,20.2074,1.691,2106.9
485.443,-1.22,234.289,179.9869,20.2064,1.691,2148.8
485.451,-1.212,234.277,179.988,20.2068,1.6913,2190.0
485.451,-1.219,234.277,179.9875,20.2068,1.6926,2231.1
485.451,-1.219,234.277,179.9875,20.2068,1.6926,2274.0
485.451,-1.219,234.277,179.9875,20.2068,1.6926,2320.1
485.456,-1.217,234.27,179.9886,20.2065,1.6923,2362.2
485.466,-1.217,234.266,179.9886,20.2062,1.6923,2404.7
485.471,-1.224,234.259,179.9881,20.2059,1.6936,2446.9
485.481,-1.216,234.255,179.9892,20.2056,1.6939,2488.0
485.489,-1.216,234.257,179.9892,20.2046,1.6939,2530.6
485.493,-1.222,234.249,179.9892,20.2043,1.6932,2573.2
485.493,-1.222,234.249,179.9892,20.2043,1.6932,2615.2
485.501,-1.222,234.25,179.9891,20.2033,1.6932,2662.9
485.508,-1.221,234.238,179.9898,20.2037,1.6948,2704.0
485.523,-1.22,234.227,179.9909,20.2031,1.6944,2746.1
485.531,-1.226,234.229,179.9904,20.2021,1.6957,2787.6
485.546,-1.219,234.218,179.9915,20.2015,1.6961,2829.4
485.55,-1.217,234.21,179.9925,20.2011,1.6957,2870.5
485.568,-1.224,234.208,179.992,20.1999,1.697,2911.8
485.573,-1.216,234.201,179.9931,20.1995,1.6973,2952.8
485.573,-1.216,234.201,179.9931,20.1995,1.6973,2995.6
485.58,-1.216,234.202,179.9931,20.1985,1.6973,3040.9
485.588,-1.215,234.19,179.9938,20.199,1.699,3082.1
485.603,-1.214,234.179,179.9948,20.1984,1.6986,3125.0
485.618,-1.226,234.168,179.9944,20.1978,1.6992,3166.8
485.633,-1.224,234.157,179.9954,20.1972,1.6988,3209.3
485.645,-1.223,234.151,179.996,20.1958,1.7004,3250.9
485.66,-1.222,234.14,179.9971,20.1952,1.7001,3294.6
485.671,-1.222,234.137,179.9966,20.195,1.7021,3336.6
485.671,-1.222,234.137,179.9966,20.195,1.7021,3378.8
485.678,-1.228,234.138,179.9966,20.194,1.7014,3425.4
485.693,-1.227,234.127,179.9972,20.1934,1.703,3467.2
485.708,-1.226,234.117,179.9983,20.1928,1.7026,3509.0
485.728,-1.225,234.098,179.9989,20.1919,1.7043,3551.4
485.743,-1.23,234.087,179.9995,20.1913,1.7052,3592.1
485.765,-1.228,234.078,-179.9994,20.1897,1.7048,3635.0
485.78,-1.227,234.067,-179.9988,20.1891,1.7064,3676.3
485.795,-1.232,234.056,-179.9982,20.1885,1.7074,3718.1
485.807,-1.225,234.05,-179.9971,20.1872,1.7077,3760.1
485.807,-1.225,234.05,-179.9971,20.1872,1.7077,3801.6
485.815,-1.223,234.038,-179.996,20.1876,1.7073,3858.5
485.845,-1.228,234.029,-179.9955,20.1849,1.7083,3900.6
485.857,-1.227,234.01,-179.9948,20.1851,1.7099,3943.5
485.879,-1.232,234.0,-179.9942,20.1835,1.7108,3984.9
485.902,-1.231,233.991,-179.9937,20.1818,1.7124,4027.0
485.921,-1.235,233.972,-179.9926,20.1809,1.7114,4068.3
485.947,-1.233,233.958,-179.9909,20.1801,1.7126,4111.0
485.967,-1.232,233.94,-179.9903,20.1792,1.7143,4152.6
485.989,-1.237,233.93,-179.9897,20.1776,1.7152,4194.4
485.997,-1.243,233.918,-179.9897,20.178,1.7145,4237.7
485.997,-1.243,233.918,-179.9897,20.178,1.7145,4278.9
486.004,-1.243,233.919,-179.9897,20.177,1.7145,4325.5
486.027,-1.24,233.897,-179.988,20.1768,1.7158,4366.8
486.046,-1.245,233.878,-179.9874,20.1759,1.7167,4409.6
486.076,-1.244,233.87,-179.9868,20.1733,1.7183,4451.7
486.106,-1.242,233.848,-179.9851,20.1721,1.7195,4493.9
486.126,-1.247,233.83,-179.9845,20.1712,1.7205,4536.5
486.148,-1.244,233.82,-179.9828,20.1696,1.7217,4579.1
486.168,-1.243,233.802,-179.9822,20.1687,1.7234,4620.9
486.201,-1.248,233.789,-179.9816,20.1668,1.7243,4661.9
486.228,-1.246,233.772,-179.98,20.1648,1.7255,4704.3
486.236,-1.244,233.76,-179.9789,20.1653,1.7252,4746.5
486.236,-1.244,233.76,-179.9789,20.1653,1.7252,4787.7
486.251,-1.243,233.749,-179.9782,20.1647,1.7268,4838.0
486.278,-1.248,233.732,-179.9777,20.1627,1.7277,4880.0
486.308,-1.246,233.71,-179.976,20.1616,1.729,4921.0
486.345,-1.249,233.69,-179.9743,20.1593,1.7295,4962.8
486.383,-1.247,233.669,-179.9731,20.1572,1.7328,5004.4
486.41,-1.258,233.652,-179.9725,20.1552,1.733,5045.8
486.44,-1.256,233.631,-179.9708,20.154,1.7342,5088.1
486.467,-1.253,233.613,-179.9692,20.1521,1.7355,5130.9
486.504,-1.259,233.593,-179.9691,20.1499,1.7384,5172.2
486.539,-1.262,233.564,-179.9674,20.1484,1.7389,5214.0
486.569,-1.26,233.542,-179.9657,20.1472,1.7402,5255.1
486.584,-1.259,233.531,-179.9651,20.1466,1.7418,5296.8
486.584,-1.259,233.531,-179.9651,20.1466,1.7418,5339.6
486.599,-1.258,233.521,-179.9645,20.146,1.7435,5388.7
486.637,-1.261,233.5,-179.9628,20.1438,1.744,5430.6
486.671,-1.265,233.471,-179.9611,20.1423,1.7446,5473.2
486.721,-1.261,233.444,-179.9589,20.1388,1.7474,5516.3
486.758,-1.265,233.424,-179.9577,20.1366,1.75,5558.5
486.793,-1.269,233.395,-179.956,20.1351,1.7505,5601.2
486.83,-1.266,233.374,-179.9543,20.1328,1.7517,5643.0
486.865,-1.27,233.345,-179.9531,20.1313,1.7543,5684.2
486.917,-1.273,233.314,-179.9508,20.1285,1.7565,5726.5
486.955,-1.271,233.293,-179.9492,20.1263,1.7577,5767.7
486.989,-1.274,233.264,-179.9475,20.1248,1.7582,5809.7
487.027,-1.278,233.244,-179.9463,20.1226,1.7608,5851.8
487.046,-1.277,233.225,-179.9457,20.1217,1.7624,5894.5
487.046,-1.277,233.225,-179.9457,20.1217,1.7624,5936.9
487.069,-1.282,233.216,-179.9451,20.1201,1.7633,5991.9
